Optimal solution:
Rc[alpha,mux1_plin] = 1.0
Rc[beta,mux2_plin] = 1.0
Rc[start_0,fork0] = 1.0
Rc[fork0,constant0] = 1.0
Rc[fork0,control_merge11] = 1.0
Rc[constant0,extsi25] = 1.0
Rc[extsi25,mux23_plin] = 1.0
Rc[mux1_plout,mux4_plin] = 0.0
Rc[mux2_plout,mux5_plin] = 0.0
Rc[mux23_plout,mux25_plin] = 0.0
Rc[control_merge11,fork1] = 0.0
Rc[control_merge11,fork2] = 0.0
Rc[fork1,mux1_plin] = 0.0
Rc[fork1,mux2_plin] = 0.0
Rc[fork1,mux23_plin] = 0.0
Rc[fork2,constant1] = 0.0
Rc[fork2,control_merge12] = 0.0
Rc[constant1,extsi26] = 0.0
Rc[extsi26,mux24_plin] = 0.0
Rc[mux24_plout,fork3] = 0.0
Rc[fork3,extsi27] = 0.0
Rc[fork3,extsi28] = 0.0
Rc[fork3,extsi29] = 0.0
Rc[fork3,extsi30] = 0.0
Rc[extsi27,addi17_plin] = 0.0
Rc[extsi28,addi16_plin] = 0.0
Rc[extsi29,addi18_plin] = 0.0
Rc[extsi30,fork4] = 0.0
Rc[fork4,mc_load1_plin] = 0.0
Rc[fork4,mc_load3_plin] = 0.0
Rc[mux4_plout,cond_br8] = 0.0
Rc[mux5_plout,cond_br9] = 0.0
Rc[mux25_plout,fork5] = 0.0
Rc[fork5,extsi31] = 0.0
Rc[fork5,extsi32] = 0.0
Rc[fork5,extsi33] = 0.0
Rc[fork5,cond_br1] = 1.0
Rc[extsi31,muli11_plin] = 0.0
Rc[extsi32,muli10_plin] = 0.0
Rc[extsi33,fork6] = 0.0
Rc[fork6,mc_load0_plin] = 0.0
Rc[fork6,mc_load2_plin] = 0.0
Rc[control_merge12,fork7] = 0.0
Rc[control_merge12,lazy_fork0] = 0.0
Rc[fork7,mux24_plin] = 0.0
Rc[fork7,mux4_plin] = 0.0
Rc[fork7,mux5_plin] = 0.0
Rc[fork7,mux25_plin] = 0.0
Rc[lazy_fork0,fork8] = 0.0
Rc[lazy_fork0,cond_br11] = 0.0
Rc[lazy_fork0,LSQ3] = 1.0
Rc[fork8,constant2] = 0.0
Rc[constant2,extsi2] = 0.0
Rc[source0,constant23] = 0.0
Rc[constant23,fork9] = 0.0
Rc[fork9,extsi34] = 0.0
Rc[fork9,extsi35] = 0.0
Rc[fork9,extsi36] = 0.0
Rc[extsi34,muli11_plin] = 0.0
Rc[extsi35,muli10_plin] = 0.0
Rc[extsi36,cmpi7_plin] = 0.0
Rc[source1,constant24] = 0.0
Rc[constant24,extsi37] = 0.0
Rc[extsi37,addi18_plin] = 0.0
Rc[muli10_plout,extsi38] = 0.0
Rc[extsi38,addi16_plin] = 0.0
Rc[addi16_plout,extsi39] = 0.0
Rc[extsi39,mc_load8_plin] = 0.0
Rc[mc_load8_plout,addi0_plin] = 0.0
Rc[mc_load0_plout,muli0_plin] = 0.0
Rc[mc_load1_plout,muli0_plin] = 0.0
Rc[muli0_plout,addi0_plin] = 0.0
Rc[addi0_plout,addi1_plin] = 0.0
Rc[mc_load2_plout,muli1_plin] = 0.0
Rc[mc_load3_plout,muli1_plin] = 0.0
Rc[muli1_plout,addi1_plin] = 0.0
Rc[addi1_plout,LSQ_store0] = 0.0
Rc[muli11_plout,extsi40] = 0.0
Rc[extsi40,addi17_plin] = 0.0
Rc[addi17_plout,extsi41] = 0.0
Rc[extsi41,LSQ_store0] = 0.0
Rc[LSQ_store0,LSQ3] = 1.0
Rc[addi18_plout,fork10] = 0.0
Rc[fork10,trunci0] = 0.0
Rc[fork10,cmpi7_plin] = 0.0
Rc[trunci0,cond_br0] = 1.0
Rc[cmpi7_plout,fork11] = 0.0
Rc[fork11,cond_br0] = 0.0
Rc[fork11,cond_br8] = 0.0
Rc[fork11,cond_br9] = 0.0
Rc[fork11,cond_br1] = 0.0
Rc[fork11,cond_br11] = 0.0
Rc[cond_br0,mux24_plin] = 0.0
Rc[cond_br0,sink0] = 1.0
Rc[cond_br8,mux4_plin] = 0.0
Rc[cond_br8,cond_br13] = 0.0
Rc[cond_br9,mux5_plin] = 0.0
Rc[cond_br9,cond_br14] = 0.0
Rc[cond_br1,mux25_plin] = 0.0
Rc[cond_br1,extsi42] = 0.0
Rc[cond_br11,control_merge12] = 0.0
Rc[cond_br11,fork12] = 0.0
Rc[extsi42,addi19_plin] = 0.0
Rc[fork12,constant25] = 0.0
Rc[fork12,cond_br15] = 0.0
Rc[constant25,cond_br3] = 0.0
Rc[source2,constant26] = 0.0
Rc[constant26,extsi43] = 0.0
Rc[extsi43,cmpi8_plin] = 0.0
Rc[source3,constant27] = 0.0
Rc[constant27,extsi44] = 0.0
Rc[extsi44,addi19_plin] = 0.0
Rc[addi19_plout,fork13] = 0.0
Rc[fork13,trunci1] = 0.0
Rc[fork13,cmpi8_plin] = 0.0
Rc[trunci1,cond_br2] = 0.0
Rc[cmpi8_plout,fork14] = 0.0
Rc[fork14,cond_br2] = 0.0
Rc[fork14,cond_br13] = 0.0
Rc[fork14,cond_br14] = 0.0
Rc[fork14,cond_br15] = 0.0
Rc[fork14,cond_br3] = 0.0
Rc[cond_br2,mux23_plin] = 0.0
Rc[cond_br2,sink1] = 1.0
Rc[cond_br13,mux1_plin] = 0.0
Rc[cond_br13,mux8_plin] = 1.0
Rc[cond_br14,mux2_plin] = 0.0
Rc[cond_br14,mux9_plin] = 1.0
Rc[cond_br15,control_merge11] = 0.0
Rc[cond_br15,control_merge13] = 1.0
Rc[cond_br3,extsi45] = 0.0
Rc[cond_br3,sink2] = 1.0
Rc[extsi45,mux26_plin] = 1.0
Rc[mux26_plout,fork15] = 1.0
Rc[fork15,extsi46] = 1.0
Rc[fork15,mux28_plin] = 1.0
Rc[extsi46,mc_load6_plin] = 1.0
Rc[mux8_plout,mux12_plin] = 1.0
Rc[mux9_plout,mux13_plin] = 1.0
Rc[control_merge13,fork16] = 1.0
Rc[control_merge13,fork17] = 1.0
Rc[fork16,mux26_plin] = 1.0
Rc[fork16,mux8_plin] = 1.0
Rc[fork16,mux9_plin] = 1.0
Rc[fork17,constant28] = 1.0
Rc[fork17,control_merge14] = 1.0
Rc[constant28,extsi47] = 1.0
Rc[mc_load6_plout,mux11_plin] = 1.0
Rc[extsi47,mux27_plin] = 1.0
Rc[mux27_plout,fork18] = 1.0
Rc[fork18,extsi48] = 1.0
Rc[fork18,extsi49] = 0.0
Rc[fork18,extsi50] = 1.0
Rc[extsi48,addi21_plin] = 1.0
Rc[extsi49,muli12_plin] = 0.0
Rc[extsi50,mc_load4_plin] = 1.0
Rc[mux11_plout,addi2_plin] = 1.0
Rc[mux12_plout,cond_br19] = 1.0
Rc[mux13_plout,fork19] = 1.0
Rc[fork19,muli2_plin] = 0.0
Rc[fork19,cond_br20] = 1.0
Rc[mux28_plout,fork20] = 1.0
Rc[fork20,extsi51] = 1.0
Rc[fork20,cond_br5] = 1.0
Rc[extsi51,addi20_plin] = 1.0
Rc[control_merge14,fork21] = 1.0
Rc[control_merge14,lazy_fork1] = 1.0
Rc[fork21,mux27_plin] = 1.0
Rc[fork21,mux11_plin] = 1.0
Rc[fork21,mux12_plin] = 1.0
Rc[fork21,mux13_plin] = 1.0
Rc[fork21,mux28_plin] = 1.0
Rc[lazy_fork1,cond_br22] = 1.0
Rc[lazy_fork1,LSQ3] = 1.0
Rc[source4,constant29] = 0.0
Rc[constant29,fork22] = 0.0
Rc[fork22,extsi52] = 0.0
Rc[fork22,extsi53] = 0.0
Rc[extsi52,cmpi9_plin] = 0.0
Rc[extsi53,muli12_plin] = 0.0
Rc[source5,constant30] = 0.0
Rc[constant30,extsi54] = 0.0
Rc[extsi54,addi21_plin] = 0.0
Rc[muli12_plout,extsi55] = 0.0
Rc[extsi55,addi20_plin] = 0.0
Rc[addi20_plout,extsi56] = 0.0
Rc[extsi56,LSQ_load2_plin] = 0.0
Rc[LSQ_load2_plout,muli2_plin] = 0.0
Rc[LSQ_load2_plout,LSQ3] = 1.0
Rc[muli2_plout,muli3_plin] = 0.0
Rc[mc_load4_plout,muli3_plin] = 0.0
Rc[muli3_plout,addi2_plin] = 0.0
Rc[addi2_plout,cond_br18] = 1.0
Rc[addi21_plout,fork23] = 1.0
Rc[fork23,trunci2] = 1.0
Rc[fork23,cmpi9_plin] = 1.0
Rc[trunci2,cond_br4] = 1.0
Rc[cmpi9_plout,fork24] = 1.0
Rc[fork24,cond_br4] = 1.0
Rc[fork24,cond_br18] = 1.0
Rc[fork24,cond_br19] = 1.0
Rc[fork24,cond_br20] = 1.0
Rc[fork24,cond_br5] = 1.0
Rc[fork24,cond_br22] = 1.0
Rc[cond_br4,mux27_plin] = 1.0
Rc[cond_br4,sink3] = 1.0
Rc[cond_br18,mux11_plin] = 1.0
Rc[cond_br18,LSQ_store1] = 0.0
Rc[cond_br19,mux12_plin] = 1.0
Rc[cond_br19,cond_br24] = 1.0
Rc[cond_br20,mux13_plin] = 1.0
Rc[cond_br20,cond_br25] = 1.0
Rc[cond_br5,mux28_plin] = 1.0
Rc[cond_br5,fork25] = 1.0
Rc[cond_br22,control_merge14] = 1.0
Rc[cond_br22,lazy_fork2] = 1.0
Rc[fork25,extsi57] = 0.0
Rc[fork25,extsi58] = 0.0
Rc[extsi57,addi22_plin] = 0.0
